win,lose,probability
Milwaukee Bucks,Detroit Pistons,0.96
Phoenix Suns,Orlando Magic,0.52
Brooklyn Nets,Atlanta Hawks,0.64
Miami Heat,Boston Celtics,0.5
Memphis Grizzlies,Chicago Bulls,0.61
Indiana Pacers,Oklahoma City Thunder,0.58
Dallas Mavericks,Minnesota Timberwolves,0.77
Los Angeles Lakers,Utah Jazz,0.71
Portland Trail Blazers,Sacramento Kings,0.53
Philadelphia 76ers,Washington Wizards,0.67
Denver Nuggets,New York Knicks,0.77
Toronto Raptors,Houston Rockets,0.62
New Orleans Pelicans,Phoenix Suns,0.56
Brooklyn Nets,Charlotte Hornets,0.71
Orlando Magic,Cleveland Cavaliers,0.67
Indiana Pacers,Detroit Pistons,0.83
Boston Celtics,Denver Nuggets,0.53
Chicago Bulls,Golden State Warriors,0.74
Miami Heat,Washington Wizards,0.74
Oklahoma City Thunder,Minnesota Timberwolves,0.73
Milwaukee Bucks,Los Angeles Clippers,0.51
Sacramento Kings,San Antonio Spurs,0.59
Los Angeles Lakers,Portland Trail Blazers,0.84
Dallas Mavericks,New Orleans Pelicans,0.67
Indiana Pacers,New York Knicks,0.8
Philadelphia 76ers,Cleveland Cavaliers,0.88
Houston Rockets,Phoenix Suns,0.73
Utah Jazz,Memphis Grizzlies,0.61
Denver Nuggets,Brooklyn Nets,0.7
Charlotte Hornets,Atlanta Hawks,0.62
Miami Heat,Chicago Bulls,0.84
Toronto Raptors,Philadelphia 76ers,0.61
Los Angeles Clippers,Washington Wizards,0.81
Dallas Mavericks,Sacramento Kings,0.7
Oklahoma City Thunder,Portland Trail Blazers,0.68
Los Angeles Lakers,Minnesota Timberwolves,0.86
Los Angeles Clippers,Indiana Pacers,0.71
Boston Celtics,Cleveland Cavaliers,0.89
Toronto Raptors,Chicago Bulls,0.78
Houston Rockets,Sacramento Kings,0.71
Milwaukee Bucks,Orlando Magic,0.7
New Orleans Pelicans,Detroit Pistons,0.63
Phoenix Suns,Minnesota Timberwolves,0.53
Utah Jazz,Oklahoma City Thunder,0.5
Memphis Grizzlies,Golden State Warriors,0.73
Washington Wizards,Charlotte Hornets,0.55
Miami Heat,Atlanta Hawks,0.85
Philadelphia 76ers,Denver Nuggets,0.5
Portland Trail Blazers,New York Knicks,0.72
Houston Rockets,Cleveland Cavaliers,0.74
Boston Celtics,Indiana Pacers,0.67
Los Angeles Lakers,Orlando Magic,0.87
Los Angeles Clippers,Toronto Raptors,0.5
Brooklyn Nets,Charlotte Hornets,0.59
Chicago Bulls,Atlanta Hawks,0.74
Utah Jazz,Minnesota Timberwolves,0.8
Memphis Grizzlies,Phoenix Suns,0.66
Milwaukee Bucks,New Orleans Pelicans,0.76
Oklahoma City Thunder,Sacramento Kings,0.71
Golden State Warriors,New York Knicks,0.58
Boston Celtics,Philadelphia 76ers,0.6
San Antonio Spurs,Cleveland Cavaliers,0.69
Dallas Mavericks,Detroit Pistons,0.81
Denver Nuggets,Portland Trail Blazers,0.74
Los Angeles Lakers,Miami Heat,0.74
Houston Rockets,Orlando Magic,0.72
Philadelphia 76ers,New Orleans Pelicans,0.66
Indiana Pacers,Atlanta Hawks,0.78
Chicago Bulls,Charlotte Hornets,0.59
Milwaukee Bucks,Memphis Grizzlies,0.92
Utah Jazz,Golden State Warriors,0.87
Los Angeles Clippers,Minnesota Timberwolves,0.85
Sacramento Kings,New York Knicks,0.69
San Antonio Spurs,Phoenix Suns,0.64
Toronto Raptors,Brooklyn Nets,0.71
Los Angeles Clippers,Chicago Bulls,0.78
Memphis Grizzlies,Washington Wizards,0.59
Miami Heat,Dallas Mavericks,0.52
Milwaukee Bucks,Cleveland Cavaliers,0.92
Denver Nuggets,Oklahoma City Thunder,0.52
Houston Rockets,Detroit Pistons,0.78
Orlando Magic,New Orleans Pelicans,0.59
Indiana Pacers,Charlotte Hornets,0.68
