WTeam,LTeam,WLoc
Boston Celtics,Toronto Raptors,V
Philadelphia 76ers,Milwaukee Bucks,H
Golden State Warriors,Houston Rockets,H
Los Angeles Clippers,Los Angeles Lakers,V
New Orleans Pelicans,Denver Nuggets,V
Detroit Pistons,Washington Wizards,H
New York Knicks,Brooklyn Nets,V
Dallas Mavericks,San Antonio Spurs,H
Memphis Grizzlies,Oklahoma City Thunder,V
Minnesota Timberwolves,Sacramento Kings,V
Utah Jazz,Portland Trail Blazers,H
Boston Celtics,Cleveland Cavaliers,H
Oklahoma City Thunder,Charlotte Hornets,V
Orlando Magic,Philadelphia 76ers,H
Milwaukee Bucks,Atlanta Hawks,V
Miami Heat,Indiana Pacers,H
Golden State Warriors,Phoenix Suns,H
Denver Nuggets,Memphis Grizzlies,H
Toronto Raptors,Boston Celtics,V
New Orleans Pelicans,Indiana Pacers,H
Chicago Bulls,Atlanta Hawks,H
Houston Rockets,Brooklyn Nets,H
Miami Heat,Philadelphia 76ers,H
Cleveland Cavaliers,Minnesota Timberwolves,V
New York Knicks,Washington Wizards,V
Dallas Mavericks,Golden State Warriors,V
Milwaukee Bucks,Orlando Magic,H
San Antonio Spurs,Detroit Pistons,H
Phoenix Suns,Sacramento Kings,V
Los Angeles Lakers,Portland Trail Blazers,V
Utah Jazz,Los Angeles Clippers,V
Oklahoma City Thunder,Toronto Raptors,V
Denver Nuggets,Sacramento Kings,H
Memphis Grizzlies,Charlotte Hornets,H
New Orleans Pelicans,Houston Rockets,H
Los Angeles Lakers,Dallas Mavericks,H
Atlanta Hawks,Orlando Magic,V
Washington Wizards,Miami Heat,H
Milwaukee Bucks,Chicago Bulls,V
Minnesota Timberwolves,Brooklyn Nets,H
Utah Jazz,Detroit Pistons,H
Phoenix Suns,Portland Trail Blazers,V
Boston Celtics,Charlotte Hornets,V
Indiana Pacers,Philadelphia 76ers,H
Los Angeles Clippers,Sacramento Kings,V
Houston Rockets,Denver Nuggets,H
San Antonio Spurs,Golden State Warriors,H
Toronto Raptors,Cleveland Cavaliers,H
Oklahoma City Thunder,Dallas Mavericks,H
Orlando Magic,Washington Wizards,V
New York Knicks,Portland Trail Blazers,H
Milwaukee Bucks,Minnesota Timberwolves,H
Los Angeles Lakers,Phoenix Suns,H
Charlotte Hornets,Cleveland Cavaliers,V
Denver Nuggets,Indiana Pacers,V
Miami Heat,Toronto Raptors,H
Utah Jazz,Chicago Bulls,V
Minnesota Timberwolves,Golden State Warriors,H
Dallas Mavericks,Brooklyn Nets,H
Oklahoma City Thunder,San Antonio Spurs,V
Sacramento Kings,Memphis Grizzlies,H
Los Angeles Clippers,Detroit Pistons,H
Boston Celtics,Atlanta Hawks,H
Orlando Magic,Miami Heat,H
Portland Trail Blazers,Washington Wizards,V
Houston Rockets,Philadelphia 76ers,H
Phoenix Suns,New York Knicks,H
Los Angeles Lakers,New Orleans Pelicans,H
Memphis Grizzlies,Los Angeles Clippers,V
Toronto Raptors,Brooklyn Nets,V
Utah Jazz,Orlando Magic,V
Atlanta Hawks,Indiana Pacers,H
Oklahoma City Thunder,Cleveland Cavaliers,V
Boston Celtics,Chicago Bulls,V
Washington Wizards,Denver Nuggets,H
Charlotte Hornets,Dallas Mavericks,V
Detroit Pistons,Golden State Warriors,V
Milwaukee Bucks,San Antonio Spurs,H
New Orleans Pelicans,Sacramento Kings,V
Los Angeles Clippers,New York Knicks,H
Miami Heat,Portland Trail Blazers,H
Minnesota Timberwolves,Cleveland Cavaliers,V
Memphis Grizzlies,Phoenix Suns,V
Los Angeles Lakers,Detroit Pistons,H
Indiana Pacers,Charlotte Hornets,V
Orlando Magic,Brooklyn Nets,H
Philadelphia 76ers,Oklahoma City Thunder,H
Washington Wizards,Boston Celtics,H
Denver Nuggets,Atlanta Hawks,V
Utah Jazz,New Orleans Pelicans,V
Dallas Mavericks,Chicago Bulls,H
San Antonio Spurs,Milwaukee Bucks,H
Sacramento Kings,Golden State Warriors,H
Detroit Pistons,Cleveland Cavaliers,V
Portland Trail Blazers,Toronto Raptors,V
Oklahoma City Thunder,Brooklyn Nets,V
Memphis Grizzlies,Minnesota Timberwolves,H
Sacramento Kings,Phoenix Suns,V
Los Angeles Lakers,New York Knicks,H
San Antonio Spurs,Boston Celtics,V
Toronto Raptors,Charlotte Hornets,V
Miami Heat,Indiana Pacers,V
Orlando Magic,Washington Wizards,H
Houston Rockets,Atlanta Hawks,V
Denver Nuggets,Dallas Mavericks,V
New Orleans Pelicans,Chicago Bulls,H
Utah Jazz,New York Knicks,H
Milwaukee Bucks,Golden State Warriors,V
Cleveland Cavaliers,Detroit Pistons,V
Philadelphia 76ers,Boston Celtics,H
Minnesota Timberwolves,Portland Trail Blazers,H
Oklahoma City Thunder,Houston Rockets,H
Washington Wizards,Atlanta Hawks,H
New Orleans Pelicans,New York Knicks,V
Brooklyn Nets,Miami Heat,H
Indiana Pacers,Chicago Bulls,V
Memphis Grizzlies,San Antonio Spurs,H
Phoenix Suns,Orlando Magic,H
Utah Jazz,Charlotte Hornets,H
Los Angeles Lakers,Dallas Mavericks,V
Milwaukee Bucks,Sacramento Kings,V
Los Angeles Clippers,Golden State Warriors,H
Houston Rockets,Minnesota Timberwolves,H
Boston Celtics,New Orleans Pelicans,H
Chicago Bulls,Detroit Pistons,V
Los Angeles Lakers,Oklahoma City Thunder,V
Dallas Mavericks,Philadelphia 76ers,H
Cleveland Cavaliers,Denver Nuggets,V
Milwaukee Bucks,Portland Trail Blazers,V
New York Knicks,Miami Heat,H
Utah Jazz,Washington Wizards,V
Brooklyn Nets,Atlanta Hawks,H
Memphis Grizzlies,Golden State Warriors,H
San Antonio Spurs,Toronto Raptors,V
Denver Nuggets,Los Angeles Clippers,H
Phoenix Suns,Charlotte Hornets,H
New Orleans Pelicans,Detroit Pistons,V
Indiana Pacers,Philadelphia 76ers,H
Boston Celtics,Chicago Bulls,H
Oklahoma City Thunder,Minnesota Timberwolves,V
Portland Trail Blazers,Charlotte Hornets,H
Orlando Magic,Sacramento Kings,V
Los Angeles Lakers,Cleveland Cavaliers,H
Atlanta Hawks,Phoenix Suns,H
Utah Jazz,Brooklyn Nets,V
Memphis Grizzlies,Houston Rockets,H
Milwaukee Bucks,New York Knicks,H
Dallas Mavericks,Golden State Warriors,V
Los Angeles Clippers,Cleveland Cavaliers,H
Detroit Pistons,Boston Celtics,V
Philadelphia 76ers,Brooklyn Nets,H
Miami Heat,San Antonio Spurs,H
Chicago Bulls,Washington Wizards,H
Indiana Pacers,Minnesota Timberwolves,V
Toronto Raptors,Oklahoma City Thunder,V
Denver Nuggets,Charlotte Hornets,H
Portland Trail Blazers,Houston Rockets,V
Dallas Mavericks,Sacramento Kings,V
Orlando Magic,Los Angeles Lakers,V
Phoenix Suns,New York Knicks,V
Milwaukee Bucks,Boston Celtics,H
New Orleans Pelicans,Utah Jazz,H
Denver Nuggets,Golden State Warriors,V
Los Angeles Clippers,Orlando Magic,H
